ts,app,node,pg,inst
19:09:25.102,1,2,15,0
19:09:25.511,1,2,15,0
19:09:25.932,1,2,15,0
19:09:26.352,1,2,15,0
19:09:26.765,1,2,15,0
19:09:27.187,1,2,15,0
19:09:27.624,1,2,15,0
19:09:28.057,1,2,15,0
19:09:28.473,1,2,15,0
19:09:28.895,1,2,15,0
19:09:29.321,1,2,15,0
19:09:29.743,1,2,15,0
19:09:30.157,1,2,15,0
19:09:30.581,1,2,15,0
19:09:31.001,1,2,15,0
19:09:31.418,1,2,15,0
19:09:31.827,1,2,0,0
19:09:32.242,1,0,0,0
19:09:32.650,1,0,0,0
19:09:33.056,1,0,0,0
19:09:33.465,1,0,0,0
19:09:33.871,1,0,0,0
19:09:34.291,1,0,0,0
19:09:34.699,1,0,0,0
19:09:35.107,1,0,0,0
19:09:35.511,1,0,0,0
19:09:35.920,1,0,0,0
19:09:36.339,1,0,0,0
19:09:36.761,1,0,0,0
19:09:37.169,1,0,0,0
19:09:37.582,1,0,0,0
19:09:37.994,1,0,0,0
19:09:38.408,1,0,0,0
19:09:38.831,1,0,0,0
19:09:39.244,1,0,0,0
19:09:39.649,0,0,0,0
19:09:40.070,0,0,0,0
19:09:40.488,0,0,0,0
19:09:40.891,0,0,0,0
19:09:41.301,0,0,0,0
19:09:41.724,0,0,0,0
19:09:42.142,0,0,0,0
19:09:42.560,0,0,0,0
19:09:42.971,0,0,0,0
19:09:43.388,0,0,0,0
19:09:43.797,0,0,0,0
19:09:44.206,0,0,0,0
19:09:44.627,0,0,0,0
19:09:45.050,0,0,0,0
19:09:45.474,0,0,0,0
19:09:45.905,0,0,0,0
19:09:46.316,0,0,0,0
19:09:46.741,0,0,0,0
19:09:47.168,0,0,0,0
19:09:47.596,0,0,0,0
19:09:48.018,0,0,0,0
19:09:48.455,0,0,0,0
19:09:48.865,0,0,0,0
19:09:49.300,0,0,0,0
19:09:49.708,0,0,0,0
19:09:50.139,0,0,0,0
19:09:50.570,0,0,0,0
19:09:50.996,0,0,0,0
19:09:51.423,0,0,0,0
19:09:51.839,0,0,0,0
19:09:52.284,0,0,0,0
19:09:53.101,0,0,0,0
19:09:53.507,0,0,0,0
19:09:53.940,0,0,0,0
19:09:54.370,0,0,0,0
19:09:54.783,0,0,0,0
19:09:55.226,0,0,0,0
19:09:55.652,0,0,0,0
